"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MER61_17q11.2",1.97284784470986,3.41363493487493,0.519316249632875,49.4884346537854,1.99544618862793e-12,3.26559106695457e-11
"ERV316A3_21q21.1f",5.69762714962258,6.52283795214616,0.967603926439393,49.3787502913539,2.11019076622701e-12,3.43842339570496e-11
"MER41_14q32.13",1.0764546399963,3.5813904319,0.571023113130266,49.29498085992,2.20225240266227e-12,3.55763006163983e-11
"HERV9_16q21",0.85418521311071,2.84736266481321,0.440004880277136,49.1735143472798,2.34292888057299e-12,3.76871124208407e-11
"HERVL40_1p32.3",1.286796942395,3.83173535579926,0.610855704194892,49.1436631137829,2.37885620969333e-12,3.810219052462e-11
"MER4_4q23b",3.39244728490518,2.13399006025395,0.32422338698705,48.8411620725486,2.77553282946207e-12,4.3895401555022e-11
"MER41_6p22.3",2.43433563359014,2.87902719689406,0.43895302642062,48.8246604086244,2.79898326083808e-12,4.40810585514416e-11
"HARLEQUIN_Xq23b",23.2907533824636,2.09622352194811,0.31668253303016,48.5275002786282,3.2568958444451e-12,5.06568428036832e-11
"ERV316A3_17q24.2b",0.942116711590373,3.80113350258374,0.638082801960219,48.2631161368987,3.72696940474689e-12,5.69504589771131e-11
"MER4_11q12.1b",9.43041205108612,7.29602073309112,1.07926748916909,48.2410424797791,3.76916068928953e-12,5.69763888935172e-11
"ERVLE_12q13.12",1.43930159773396,2.83518981473798,0.437277541592586,47.9119308946103,4.45800541965763e-12,6.68523203170968e-11
"MER4_3p21.31b",3.64023749173608,2.42429266273118,0.372405835468568,47.7209121375422,4.91421638198263e-12,7.34012319912009e-11
"HERVL_6q14.1d",1.67606010519101,2.85854139280519,0.44068742933215,47.6963419811543,4.97619268135411e-12,7.40331591012524e-11
"ERVLB4_2q36.1b",1.10835316717149,2.47636068099745,0.378709613247249,47.6796673500052,5.01869810985439e-12,7.43715735649288e-11
"HML5_5p13.2",4.89431445559639,2.50261266630704,0.382881452546433,47.6585988785738,5.07292389226094e-12,7.48803354136085e-11
"HERV4_5q33.1",1.25999838219611,3.87273120257446,0.631054797775661,47.642421547519,5.11495855563055e-12,7.52058750132554e-11
"HERVL_3p13a",3.03537021448828,2.69050551132884,0.410756110145968,47.6335195508724,5.13823771915915e-12,7.52482465439007e-11
"HERVH_7p15.2",0.754072545447789,3.42147699212564,0.572815142119541,47.626061124841,5.15782348786567e-12,7.52482465439007e-11
"ERVLE_1q32.2a",1.90299576040742,4.2874352269986,0.688490186526802,47.6063725009249,5.20988535144262e-12,7.54231094724232e-11
"HERVW_5p14.3",1.86383770479877,4.08401601755058,0.654800676719254,47.5028011715874,5.49254037983741e-12,7.92104290793411e-11
"MER4_7p11.2d",1.12529984728838,2.30528105444053,0.35662262326774,47.441931063373,5.6657682902957e-12,8.13967627659275e-11
"HERVK11_4q13.2",2.22318905761847,5.16711005507651,0.853630845499958,47.366773819426,5.88721749579506e-12,8.42566032478045e-11
"ERV316A3_5q35.3a",1.50759698249062,3.45360181685415,0.544866676322568,47.2017730565766,6.4042486014751e-12,9.0964497116801e-11
"HML3_19p13.2b",1.10361652954584,3.49722532810755,0.569645167540301,46.8846457939334,7.52902673403969e-12,1.05350396382622e-10
"MER101_12q24.13b",0.756467297752185,2.70228227710712,0.428189295001994,46.850765619991,7.66031662498006e-12,1.06790488060833e-10
"HERVK11D_2q11.2",1.41202112929902,2.99926407324738,0.478956331279164,46.7925313142268,7.89135805003984e-12,1.09605430628598e-10
"ERVLE_5q31.1h",5.76397018461465,6.47428646978564,1.00474301815558,46.7743580780401,7.96487743423808e-12,1.09816112316748e-10
"HERVW_8q21.13",2.54540287654653,3.0996879469258,0.474940004578825,46.6214043857807,8.61144793109173e-12,1.18297408805216e-10
"HERVH_4q31.21c",3.03927186809259,2.62457848333392,0.411117188354072,46.6095639200344,8.66363833343044e-12,1.18581580680117e-10
"MER41_15q13.3",1.58568284103876,3.55272937600474,0.554015371277853,46.5609817582539,8.88111379664211e-12,1.21117798299134e-10
"MER101_8p21.3",1.81362651938196,2.50620451192117,0.385884142359295,46.3896639271965,9.69254548320496e-12,1.31232882010013e-10
"HERVL_13q31.1b",1.37074135794934,4.0995974045891,0.679494566124235,46.3779478516574,9.75067466547358e-12,1.31546736347106e-10
"HERVH_14q23.1a",2.84081666472773,2.2599770409845,0.352902976003951,46.2019051250922,1.06673204175377e-11,1.41879130924424e-10
"HERV4_15q26.1",2.30392518544902,4.59714659623671,0.734580143528276,46.0787651962274,1.13593007972124e-11,1.50550733101082e-10
"HERVL_1p36.22",1.38827643832423,3.72493943187844,0.60889902799842,45.9872419702911,1.19025593867484e-11,1.56633217507333e-10
"HERV9_10p13",4.3726332366162,2.06234202298692,0.320301512091105,45.9805847561405,1.19430747674295e-11,1.56633217507333e-10
"HERVH_2p16.2",0.938468473524362,2.97681999931347,0.49039843029105,45.8618510172961,1.2689314533743e-11,1.64698551396582e-10
"HML2_9q34.11",2.81561043441903,2.15342505840555,0.337608527317949,45.8426143647903,1.28145349811011e-11,1.65752266903314e-10
"HERVS71_8p23.1a",7.83290232944629,2.80564259398224,0.439124221997554,45.7710544217666,1.32913077223044e-11,1.7133041872176e-10
"HERVL_5p13.3b",1.85611942931748,2.92765300634944,0.458634027882324,45.7294036850281,1.35769406739089e-11,1.74415033094175e-10
"ERV316A3_5p15.31",1.65447829467393,2.42828190289452,0.375920952443135,45.6877404345213,1.38688058536672e-11,1.77558453174161e-10
"HERV30_6q22.31",2.32846690633121,3.69584496627822,0.581575239291319,45.6527987256258,1.41184205548672e-11,1.8014147446956e-10
"HUERSP2_17q12",4.22008530198445,5.8959200881631,0.927840391759558,45.5463192519299,1.49071550430545e-11,1.89348840235830e-10
"HERVFRD_8q12.1d",3.62139657619326,3.20695463134771,0.504443211840598,45.3432658766442,1.65355579950265e-11,2.06776878050764e-10
